,Order Date,Product Name,Category,Region,Quantity,Sales,Profit
0,2024-12-31,Printer,Office,North,4,3640,348.93
1,2022-11-27,Mouse,Accessories,East,7,1197,106.53
2,2022-05-11,Tablet,Electronics,South,5,5865,502.73
3,2024-03-16,Mouse,Accessories,South,2,786,202.87
4,2022-09-10,Mouse,Accessories,West,1,509,103.28
5,2023-12-01,Camera,Electronics,West,1,524,106.35
6,2023-10-09,Headphones,Accessories,North,7,6167,1027.98
7,2022-01-14,Camera,Electronics,South,7,3059,873.5
8,2022-04-02,Smartwatch,Electronics,East,9,5526,595.28
9,2024-10-22,Printer,Office,South,8,672,186.37
10,2023-12-04,Monitor,Accessories,South,6,7074,1357.68
11,2022-09-27,Smartwatch,Electronics,East,2,502,137.4
12,2023-12-21,Tablet,Electronics,North,7,7462,2166.17
13,2024-02-03,Smartphone,Electronics,West,5,4205,585.29
14,2023-10-10,Camera,Electronics,West,1,570,138.54
15,2022-10-16,Headphones,Accessories,East,1,441,102.42
16,2022-05-15,Mouse,Accessories,North,7,7469,589.81
17,2023-02-11,Tablet,Electronics,South,2,2212,145.75
18,2023-12-27,Tablet,Electronics,East,5,740,146.39
19,2023-10-05,Headphones,Accessories,North,1,662,193.92
20,2024-03-05,Mouse,Accessories,North,7,5712,651.27
21,2023-07-18,Smartwatch,Electronics,North,3,2739,572.73
22,2023-06-25,Keyboard,Accessories,West,5,1400,213.63
23,2023-11-13,Printer,Office,North,3,3477,939.2
24,2022-07-09,Camera,Electronics,North,5,3475,570.36
25,2023-12-11,Laptop,Electronics,West,9,6138,1562.14
26,2023-03-18,Camera,Electronics,West,5,3665,406.93
27,2024-08-09,Printer,Office,North,2,2372,206.42
28,2024-05-04,Laptop,Electronics,North,2,1382,211.11
29,2022-09-04,Laptop,Electronics,West,1,1126,194.08
30,2022-10-21,Printer,Office,West,8,1376,152.1
31,2024-01-22,Mouse,Accessories,West,4,988,147.91
32,2023-04-09,Laptop,Electronics,North,9,10773,1907.36
33,2023-02-07,Headphones,Accessories,South,4,3252,713.46
34,2023-05-04,Headphones,Accessories,North,3,2739,202.81
35,2023-04-18,Tablet,Electronics,South,7,2709,702.79
36,2022-12-12,Printer,Office,West,3,936,201.24
37,2022-09-11,Camera,Electronics,West,4,3720,410.92
